cell_id,lat,lon,nearest_dist_km,is_estimated,Ward_No,Ward_Name,distance_to_ward
117,28.425641,77.369231,4.979,1,202,MEETHEYPUR,9397.068977149404
118,28.425641,77.384615,6.406,1,202,MEETHEYPUR,10363.824210084586
119,28.425641,77.4,7.862,1,202,MEETHEYPUR,11505.659166686592
120,28.438462,76.8,19.63,1,133,CHHAWLA,12350.355006092408
121,28.438462,76.815385,18.663,1,133,CHHAWLA,11139.050920005013
122,28.438462,76.830769,17.77,1,133,CHHAWLA,10014.179790634558
123,28.438462,76.846154,16.964,1,133,CHHAWLA,9074.896337981389
124,28.438462,76.861538,16.162,1,133,CHHAWLA,8383.950515419194
125,28.438462,76.876923,14.663,1,133,CHHAWLA,8005.80268997768
126,28.438462,76.892308,13.165,1,133,CHHAWLA,7891.9137904814625
127,28.438462,76.907692,11.669,1,133,CHHAWLA,8081.219351963961
128,28.438462,76.923077,10.176,1,133,CHHAWLA,8613.40229447788
129,28.438462,76.938462,8.686,1,133,CHHAWLA,8370.638612366567
130,28.438462,76.953846,7.202,1,133,CHHAWLA,8384.513958288408
131,28.438462,76.969231,5.729,1,133,CHHAWLA,8588.32955260792
132,28.438462,76.984615,4.277,1,133,CHHAWLA,9099.703002877148
133,28.438462,77.0,2.88,1,133,CHHAWLA,9551.549594299
134,28.438462,77.015385,1.68,1,133,CHHAWLA,9663.275053505891
135,28.438462,77.030769,1.368,1,175,AYA NAGAR,9816.652435507223
136,28.438462,77.046154,2.334,1,175,AYA NAGAR,8295.249698504926
137,28.438462,77.061538,1.824,1,175,AYA NAGAR,6806.889870724066
138,28.438462,77.076923,2.018,1,175,AYA NAGAR,5105.006423966
139,28.438462,77.092308,3.056,1,175,AYA NAGAR,3413.908905733294
140,28.438462,77.107692,3.986,1,175,AYA NAGAR,1764.9828444859977
141,28.438462,77.123077,2.595,1,175,AYA NAGAR,629.9760981942491
142,28.438462,77.138462,1.45,1,175,AYA NAGAR,0.0
143,28.438462,77.153846,1.415,1,175,AYA NAGAR,0.0
144,28.438462,77.169231,2.535,1,175,AYA NAGAR,0.0
145,28.438462,77.184615,3.905,1,176,BHATI,0.0
146,28.438462,77.2,5.292,1,176,BHATI,0.0
147,28.438462,77.215385,6.289,1,176,BHATI,0.0
148,28.438462,77.230769,6.782,1,176,BHATI,0.0
149,28.438462,77.246154,6.929,1,176,BHATI,0.0
150,28.438462,77.261538,5.764,1,176,BHATI,1188.4868831306685
151,28.438462,77.276923,4.393,1,176,BHATI,2783.102041238184
152,28.438462,77.292308,2.896,1,176,BHATI,4434.233619178447
153,28.438462,77.307692,1.416,1,204,MOLARBAND,5753.405558097363
154,28.438462,77.323077,0.384,0,204,MOLARBAND,5802.678152680684
155,28.438462,77.338462,1.678,1,204,MOLARBAND,6332.8177841403485
156,28.438462,77.353846,3.164,1,202,MEETHEYPUR,7164.27696193292
157,28.438462,77.369231,4.661,1,202,MEETHEYPUR,8035.290983515843
158,28.438462,77.384615,6.162,1,202,MEETHEYPUR,9147.122393736878
159,28.438462,77.4,7.664,1,202,MEETHEYPUR,10423.108398574124
160,28.451282,76.8,18.59,1,133,CHHAWLA,11300.977631681786
161,28.451282,76.815385,17.566,1,133,CHHAWLA,9991.116598457173
162,28.451282,76.830769,16.615,1,133,CHHAWLA,8781.523769031795
163,28.451282,76.846154,15.75,1,133,CHHAWLA,7693.185710225954
164,28.451282,76.861538,14.986,1,133,CHHAWLA,6864.545802302914
165,28.451282,76.876923,14.339,1,133,CHHAWLA,6397.205603837558
166,28.451282,76.892308,13.101,1,133,CHHAWLA,6268.867103450781
167,28.451282,76.907692,11.597,1,133,CHHAWLA,6505.574355803853
168,28.451282,76.923077,10.093,1,133,CHHAWLA,7047.562773142002
